wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-15,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,26.407407,16.944444,34.611111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-16,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,28.08642,20.648148,34.839506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-17,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,28.845679,22.283951,35.549383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-18,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,29.345679,23.240741,35.808642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-19,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,28.290123,21.240741,34.759259,0.90311111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-20,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,23.111111,18.506173,32.259259,19.501556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-21,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,25.716049,19.87037,31.709877,2.3706667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-22,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,26.339506,19.518519,33.851852,13.857111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-23,0,0,,,1,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,25.41358,19.95679,32.203704,13.095111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-24,1,0,,,2,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,25.148148,17.95679,32,2.5682222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-25,0,0,,,2,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,26.04321,18.993827,33.388889,0.11288889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108520,geoId/48023,US,United States of America,TX,Texas,48023,Baylor County,US,USA,2,2020-06-26,0,0,,,2,0,,,,,,,,,,,,,33.63,-99.22,,2334,,,72040400134,72.427645,27.154321,23.530864,31.290123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,
