ISO 3166-2 Code,Country,Subdivision,Last Update,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23
AR-B,Argentina,Buenos Aires,2020-06-24 13:32:52.446844,0.0,0,3,7,0,0,10,13,15,16,19.0,21.0,26,30,35,45,56,78,101,119.0,148.0,183,237,265,313,383.0,423.0,476.0,560.0,722,838.0,928.0,998,1131,1278.0,1404.0,1610,1917,2391.0,2779.0,3073,3409,3859,4298,4726,5179,5525.0,5835.0,6267.0,6849.0,7504.0,8179.0,8906.0,9533.0,9988.0,10783.0,11828.0,12719.0,13606.0,14606.0,15515.0,16031.0,16813.0,17880.0,18902.0,19806.0,20644.0,21255.0,21649.0,22533.0,23520.0,24346.0,25190.0,26059.0,26849.0,27278.0,28135.0,29230.0,30246.0,31286.0,32425.0,33401.0,34007.0,35227.0,36738.0,38160.0,39690.0,41269.0,42577.0,43401.0,44684.0,46142.0,47847.0,49541.0,51593.0,53210.0,54176.0,56018.0,57935.0,59977.0,61957.0,64165.0,66090.0,67061.0,69110.0,71535.0,73946.0,76692.0,79447.0,82446.0,84050.0,85941.0,86964.0,,,,,,,
AR-K,Argentina,Catamarca,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,4.0,0,8.0,0.0,0,0,14.0,18.0,28,34,0.0,44.0,45,0,0,50,52,53,54.0,0.0,66.0,72.0,0.0,0.0,80.0,84.0,85.0,0.0,95.0,0.0,105.0,0.0,110.0,114.0,0.0,128.0,130.0,137.0,146.0,149.0,0.0,0.0,164.0,0.0,170.0,179.0,180.0,0.0,185.0,0.0,194.0,0.0,205.0,0.0,216.0,219.0,228.0,229.0,242.0,245.0,0.0,256.0,0.0,269.0,292.0,305.0,316.0,317.0,336.0,339.0,352.0,355.0,356.0,373.0,389.0,392.0,418.0,433.0,447.0,460.0,471.0,480.0,487.0,0.0,492.0,,,,,,,
AR-H,Argentina,Chaco,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,5,15,0,35.0,52.0,53,73,102,113,145.0,169.0,195.0,248.0,266,287.0,338.0,365,451,474.0,527.0,638,732,746.0,817.0,843,934,974,981,1030,1042,1048.0,1085.0,1178.0,1206.0,1308.0,1445.0,1545.0,1630.0,1694.0,1833.0,1943.0,2040.0,2165.0,2290.0,2360.0,2434.0,2450.0,2491.0,2541.0,2647.0,2783.0,2814.0,2877.0,2928.0,2986.0,3083.0,3192.0,3258.0,3363.0,3452.0,3517.0,3655.0,3773.0,3900.0,4000.0,4139.0,4235.0,4332.0,4508.0,4653.0,4805.0,4957.0,5099.0,5222.0,5378.0,5474.0,5642.0,5799.0,5998.0,6127.0,6170.0,6322.0,6471.0,6681.0,6854.0,7023.0,7121.0,7259.0,7425.0,7571.0,7811.0,7894.0,8098.0,8360.0,8473.0,8608.0,8633.0,,,,,,,
AR-U,Argentina,Chubut,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0.0,4.0,0,0,0,5,0.0,6.0,0.0,14.0,0,20.0,22.0,23,30,31.0,36.0,0,50,0.0,0.0,52,55,65,66,68,77,79.0,0.0,0.0,84.0,85.0,89.0,90.0,98.0,0.0,101.0,0.0,106.0,111.0,122.0,128.0,130.0,140.0,142.0,156.0,159.0,161.0,170.0,172.0,183.0,184.0,194.0,196.0,199.0,0.0,0.0,207.0,212.0,218.0,225.0,234.0,236.0,246.0,253.0,265.0,274.0,278.0,283.0,285.0,293.0,300.0,306.0,310.0,329.0,339.0,359.0,0.0,371.0,386.0,412.0,430.0,451.0,478.0,481.0,512.0,530.0,568.0,577.0,613.0,633.0,691.0,699.0,0.0,,,,,,,
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-24 13:32:52.446844,0.0,0,0,4,0,0,5,8,10,14,20.0,25.0,35,39,51,65,80,100,122,154.0,181.0,215,282,309,373,455.0,493.0,546.0,631.0,724,856.0,939.0,1019,1084,1196.0,1353.0,1491,1669,1971.0,2240.0,2440,2634,2927,3254,3559,3797,4032.0,4202.0,4416.0,4666.0,4968.0,5265.0,5576.0,5855.0,6070.0,6335.0,6783.0,7106.0,7504.0,7965.0,8358.0,8684.0,9009.0,9399.0,9891.0,10274.0,10638.0,10978.0,11233.0,11603.0,12068.0,12511.0,13027.0,13489.0,13898.0,14293.0,14863.0,15485.0,16152.0,16753.0,17494.0,17999.0,18510.0,19167.0,20196.0,21165.0,22328.0,23453.0,24320.0,25151.0,25951.0,26947.0,28114.0,29306.0,30593.0,31581.0,32439.0,33368.0,34522.0,35852.0,37081.0,38367.0,39550.0,40322.0,41513.0,42928.0,44201.0,45678.0,47399.0,48803.0,49795.0,50621.0,50926.0,,,,,,,
AR-X,Argentina,Cordoba,2020-06-24 13:32:52.446844,0.0,0,0,1,0,0,0,0,0,0,2.0,0.0,11,0,14,0,21,31,0,0.0,34.0,60,70,101,142,162.0,221.0,311.0,361.0,436,483.0,486.0,508,698,772.0,783.0,925,1172,1299.0,1355.0,1470,1580,1719,1989,2159,2352,2503.0,2805.0,3083.0,3305.0,3523.0,3765.0,3894.0,4076.0,4191.0,4345.0,4527.0,4719.0,5013.0,5228.0,5397.0,5577.0,5724.0,5894.0,6154.0,6336.0,6501.0,6602.0,6821.0,6925.0,7218.0,7563.0,7886.0,8050.0,8281.0,8537.0,8836.0,8964.0,9247.0,9541.0,9746.0,10128.0,10317.0,10498.0,10741.0,11037.0,11366.0,11799.0,11964.0,12242.0,12351.0,12528.0,12742.0,13064.0,13195.0,13328.0,13540.0,13701.0,13920.0,14125.0,14324.0,14562.0,14673.0,14837.0,14984.0,15199.0,15407.0,15612.0,15970.0,16165.0,16248.0,16343.0,16398.0,,,,,,,
AR-W,Argentina,Corrientes,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,7,0,0.0,0.0,0,11,14,28,41.0,0.0,0.0,42.0,43,44.0,85.0,101,105,132.0,133.0,159,203,227.0,239.0,0,299,362,454,525,601,638.0,679.0,694.0,726.0,752.0,766.0,786.0,828.0,864.0,902.0,913.0,933.0,958.0,995.0,1005.0,1011.0,1068.0,1072.0,1085.0,1095.0,1175.0,1177.0,1190.0,1209.0,1215.0,1239.0,1266.0,1274.0,1319.0,1325.0,1402.0,1449.0,1488.0,1512.0,1543.0,1565.0,1671.0,1760.0,1838.0,1859.0,1921.0,1997.0,2017.0,2026.0,2030.0,2097.0,2241.0,2289.0,2355.0,2379.0,2463.0,2522.0,2576.0,2664.0,2684.0,2711.0,2772.0,2784.0,2800.0,2818.0,2834.0,2850.0,2880.0,2930.0,2981.0,3013.0,3024.0,,,,,,,
AR-E,Argentina,Entre Rios,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,3,0,4,5,0.0,0.0,10,0,11,12,19.0,0.0,26.0,33.0,40,55.0,59.0,62,63,80.0,112.0,154,172,190.0,206.0,215,224,235,261,269,270,296.0,297.0,313.0,329.0,347.0,362.0,382.0,389.0,409.0,414.0,437.0,450.0,471.0,484.0,508.0,0.0,524.0,536.0,559.0,580.0,581.0,621.0,622.0,647.0,668.0,683.0,698.0,708.0,721.0,724.0,744.0,773.0,796.0,812.0,843.0,866.0,868.0,895.0,913.0,942.0,965.0,990.0,998.0,1017.0,1037.0,1052.0,1073.0,1085.0,1102.0,1135.0,0.0,1166.0,1201.0,1226.0,1243.0,1270.0,1322.0,1366.0,1402.0,1437.0,1474.0,1514.0,1559.0,1606.0,1654.0,1694.0,1702.0,,,,,,,
AR-P,Argentina,Formosa,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,1,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3.0,0.0,0.0,0.0,0,5.0,0.0,0,7,0.0,0.0,8,9,10.0,0.0,12,22,27,0,30,37,38.0,39.0,42.0,0.0,44.0,54.0,62.0,68.0,72.0,75.0,80.0,81.0,86.0,92.0,99.0,100.0,106.0,112.0,128.0,140.0,143.0,155.0,164.0,189.0,192.0,208.0,212.0,305.0,327.0,373.0,386.0,402.0,409.0,423.0,441.0,469.0,473.0,476.0,480.0,500.0,501.0,508.0,526.0,546.0,551.0,558.0,559.0,570.0,593.0,617.0,657.0,676.0,677.0,683.0,691.0,696.0,0.0,697.0,700.0,706.0,700.0,698.0,730.0,0.0,731.0,0.0,732.0,,,,,,,
AR-Y,Argentina,Jujuy,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,4,5,0,6,7.0,0.0,0.0,11.0,0,16.0,17.0,20,0,36.0,43.0,49,107,112.0,113.0,114,117,146,168,230,234,373.0,412.0,474.0,601.0,621.0,637.0,641.0,667.0,682.0,692.0,708.0,724.0,741.0,763.0,784.0,804.0,811.0,867.0,926.0,962.0,966.0,979.0,1000.0,1040.0,1079.0,1128.0,1171.0,1182.0,1208.0,1224.0,1256.0,1296.0,1323.0,1341.0,1384.0,1395.0,1427.0,1443.0,1519.0,1564.0,1633.0,1647.0,1700.0,1719.0,1740.0,1768.0,1805.0,1857.0,1916.0,1943.0,1972.0,1998.0,2013.0,2030.0,2038.0,2054.0,2060.0,2061.0,2065.0,2153.0,2181.0,2206.0,2228.0,2272.0,2274.0,2282.0,0.0,,,,,,,
