geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15
country/region,Albania,driving,,,,100.0,95.3,101.43,97.2,103.55,112.67,104.83,94.39,94.07,93.51,92.94,102.13,102.38,101.41,94.62,89.12,90.17,90.21,97.71,102.5,108.92,92.82,91.48,93.99,96.72,102.46,103.29,107.83,87.99,94.18,94.62,99.7,139.3,123.9,129.41,102.24,88.09,88.17,94.48,100.62,111.02,113.5,86.95,83.01,85.44,82.73,89.7,95.48,100.43,89.25,91.02,89.72,94.87,102.82,109.92,110.07,79.68,68.24,51.77,43.79,24.99,24.61,30.93,24.69,24.95,24.65,24.5,26.31,20.39,19.29,22.62,21.61,21.98,23.07,23.94,19.49,21.78,23.66,25.11,25.02,25.2,24.11,20.54,22.54,26.4,26.03,26.43,26.7,26.32,25.47,24.89,32.64,31.43,30.67,30.0,29.26,22.94,24.55,31.51,33.59,31.69,33.94,30.22,25.22,30.39,37.39,36.69,35.9,38.09,37.23,29.36,36.0,43.69,42.61,43.11,46.13,45.78,41.59,45.39,,,49.19,50.2,48.3,46.78,45.51,56.09,51.12,59.04,61.14,65.34,56.11,53.39,73.94,66.27,65.59,66.11,67.85,67.47,68.61,90.62,88.33,89.97,84.3,93.46,102.16,111.59,93.78,95.51,92.69,96.27,115.3,126.24,129.96,101.84
country/region,Albania,walking,,,,100.0,100.68,98.93,98.46,100.85,100.13,82.13,95.65,97.78,95.39,94.24,93.73,97.06,77.27,83.37,82.73,84.39,88.19,90.79,88.7,79.32,87.12,88.06,99.4,85.84,94.63,99.74,81.41,90.19,90.45,94.16,95.69,109.21,108.4,84.52,96.63,87.38,81.49,87.21,93.52,94.5,74.8,87.25,81.41,77.78,74.5,81.19,87.97,78.42,94.88,95.65,91.13,94.46,103.8,92.92,82.47,87.25,63.37,46.7,37.87,31.43,37.78,37.44,35.95,30.87,33.56,36.84,32.62,27.12,22.64,25.93,25.88,25.42,23.03,28.27,24.69,20.26,22.9,25.93,23.5,26.65,27.76,24.9,23.92,31.13,25.8,29.81,28.96,27.29,27.63,29.59,35.52,38.08,35.48,39.15,34.58,27.76,27.93,36.72,34.46,35.39,34.8,34.63,29.0,35.22,41.83,37.53,41.49,38.25,38.68,32.28,43.41,49.59,46.44,52.84,52.37,48.1,44.86,68.87,,,61.79,56.46,54.41,48.36,45.2,67.46,63.2,66.57,67.97,68.49,48.02,42.56,74.97,70.66,65.67,67.16,69.89,56.67,59.53,84.18,93.86,87.72,94.75,83.24,81.96,87.25,87.38,90.83,91.09,89.13,97.74,97.95,77.91,88.49
country/region,Argentina,driving,,,,100.0,97.07,102.45,111.21,118.45,124.01,95.44,95.13,95.42,97.66,99.42,113.34,118.23,91.31,93.37,91.12,92.35,96.74,111.24,123.96,89.01,91.66,89.18,94.49,95.98,111.12,121.53,89.23,96.42,96.97,101.68,104.9,122.91,127.62,88.2,92.28,98.15,98.96,104.71,132.57,141.76,108.21,107.92,99.51,96.38,97.96,116.77,117.72,81.13,86.76,88.9,92.74,97.45,118.32,122.78,80.36,89.28,89.29,82.73,86.67,98.75,84.77,47.7,53.57,45.44,43.21,43.9,16.77,12.54,8.74,10.08,10.76,14.86,14.58,15.45,13.34,9.92,14.59,12.65,15.79,16.48,17.15,15.13,11.53,17.24,18.55,19.95,19.8,16.8,19.4,12.89,21.1,22.29,23.55,24.4,27.17,23.19,14.54,26.67,27.25,27.61,28.73,30.99,25.92,16.57,27.45,27.12,32.22,34.45,22.69,28.23,16.44,32.01,33.63,35.13,35.56,40.25,33.82,19.82,,,38.87,41.01,44.34,38.29,22.01,40.01,41.34,41.53,41.52,47.52,41.34,23.81,28.11,40.86,42.91,43.77,48.26,40.39,23.77,39.64,41.88,43.77,45.84,52.26,47.48,27.32,44.06,47.0,48.1,49.36,56.59,52.09,30.96,33.74
country/region,Argentina,walking,,,,100.0,95.11,101.37,112.67,116.72,114.14,84.54,101.37,106.12,104.91,102.56,104.88,98.83,73.64,94.27,93.86,92.2,96.0,98.99,97.42,67.21,95.18,96.25,100.39,99.1,105.0,106.45,73.12,104.2,105.87,111.47,113.2,128.75,103.47,69.12,93.42,111.49,107.02,111.36,124.13,120.44,100.5,96.6,82.59,107.79,110.62,124.18,108.49,68.5,101.01,104.39,108.23,113.92,126.7,112.81,70.94,109.38,109.62,83.06,106.85,104.31,70.31,43.64,51.55,35.57,31.96,29.97,11.75,9.11,6.96,8.36,8.05,10.92,10.53,11.3,10.73,7.77,11.37,9.79,11.78,11.23,12.44,10.97,9.12,11.85,13.49,15.51,14.65,13.58,15.75,10.45,16.35,16.66,17.42,18.18,18.8,17.03,10.59,18.44,19.01,18.47,20.39,22.32,23.31,16.36,18.48,17.49,22.78,24.8,16.62,20.61,12.44,21.35,22.63,23.84,23.84,30.63,24.84,15.58,,,28.33,28.44,31.63,28.81,18.49,30.79,30.37,28.85,29.04,31.99,31.4,16.83,21.37,30.85,33.27,32.63,34.67,28.7,17.4,29.5,31.25,30.65,31.93,37.34,33.53,19.6,34.36,35.81,36.25,36.61,41.45,35.27,21.26,25.34
country/region,Australia,driving,AU,,,100.0,102.98,104.21,108.63,109.08,89.0,99.35,103.53,106.8,107.4,115.65,109.66,88.59,85.18,95.91,99.4,99.92,103.04,103.73,85.73,93.39,95.83,98.63,102.4,107.46,106.55,86.33,98.78,100.08,103.28,106.19,116.62,115.36,93.51,98.27,101.79,105.38,107.29,113.37,118.25,97.6,97.5,102.7,104.46,106.23,113.6,117.64,98.24,97.35,99.14,101.63,106.02,113.97,113.49,93.23,91.21,96.44,99.94,100.79,102.79,98.75,78.16,81.59,80.52,78.87,79.24,83.55,78.17,60.74,66.41,62.49,60.19,57.96,59.9,48.25,36.69,51.18,51.92,52.04,51.54,54.23,41.58,33.34,51.75,53.17,55.01,59.24,33.19,36.0,26.95,31.72,53.14,55.91,56.56,58.77,47.51,36.9,53.34,56.93,58.06,59.69,62.87,47.84,41.89,55.39,59.09,59.46,59.46,63.12,58.4,48.67,58.18,62.51,64.04,66.19,71.34,67.64,50.96,63.56,,,71.12,77.24,79.75,65.88,72.17,73.58,75.83,76.35,81.42,82.51,65.78,74.12,77.1,79.92,82.65,88.37,92.7,73.04,78.07,80.87,84.72,88.62,100.24,104.34,83.85,85.16,86.92,88.07,90.36,98.28,100.97,81.74,86.3,89.68
country/region,Australia,transit,AU,,,100.0,101.78,100.64,99.58,98.34,86.97,99.87,107.29,109.13,107.03,106.64,100.19,90.61,81.83,101.78,104.81,103.03,101.91,97.77,87.49,98.72,99.03,102.4,100.27,100.82,102.46,84.1,100.46,105.77,105.48,106.71,113.2,111.33,98.78,109.3,111.03,115.59,114.53,116.25,120.68,104.35,115.32,119.81,118.98,115.46,119.34,122.09,107.23,113.58,115.04,112.26,111.17,113.82,112.67,98.27,97.56,105.15,107.82,106.36,101.22,88.82,70.96,76.49,70.68,65.78,62.19,61.79,57.33,43.75,40.71,33.94,30.31,26.9,26.44,23.77,19.57,23.53,22.58,21.67,21.05,21.25,18.75,16.62,21.76,21.2,20.73,21.28,16.63,16.78,13.94,16.51,21.67,21.58,21.98,21.84,20.13,17.64,21.93,22.41,22.71,22.49,23.78,20.96,19.06,22.74,23.8,23.76,22.35,23.58,23.52,21.41,25.1,25.56,26.55,26.43,28.37,27.93,23.76,28.5,,,29.89,31.44,33.85,29.61,32.92,33.36,34.04,33.11,35.0,36.56,31.04,36.09,37.03,38.29,38.73,40.04,42.98,35.88,39.46,40.43,41.82,42.68,46.1,51.44,41.01,39.83,44.71,44.55,45.98,48.26,53.46,43.97,46.04,47.82
country/region,Australia,walking,AU,,,100.0,101.31,101.82,104.52,113.73,100.24,98.57,104.38,108.51,103.88,112.4,117.27,103.02,87.4,96.18,100.57,100.25,100.73,108.69,96.55,92.71,95.77,99.1,97.65,97.97,112.07,88.84,93.13,100.34,101.59,104.56,116.84,129.56,110.5,103.76,102.99,107.3,112.78,116.31,133.9,113.52,103.12,106.0,109.06,109.52,116.49,135.14,126.02,100.94,101.73,101.17,97.93,111.79,126.09,108.98,89.81,96.18,100.4,100.94,102.38,103.92,84.71,75.67,71.19,68.72,66.9,68.29,72.02,54.18,50.99,46.97,45.55,43.82,45.57,41.88,32.84,40.93,42.68,41.98,39.17,42.38,35.83,31.11,42.02,42.71,43.05,47.21,34.06,35.99,31.33,37.05,45.74,47.1,46.3,47.84,45.82,38.71,43.3,47.28,47.66,47.17,51.03,46.68,39.3,45.09,46.07,44.06,41.71,44.69,46.44,42.74,44.28,48.16,48.55,48.99,53.98,53.94,42.87,48.27,,,50.66,54.93,63.26,54.18,53.06,54.45,54.75,52.71,56.25,62.29,49.48,52.74,54.77,56.85,59.12,60.71,73.11,57.03,54.1,56.7,60.29,61.92,68.18,86.54,67.91,58.85,60.79,61.07,65.38,69.2,84.38,67.1,63.27,65.31
country/region,Austria,driving,Österreich,,,100.0,101.14,104.24,112.21,117.23,117.22,105.17,100.7,102.67,104.33,107.89,123.67,119.39,105.55,104.42,106.42,106.1,108.47,125.62,134.87,109.33,109.04,107.88,110.15,107.4,127.94,146.79,116.74,109.94,112.72,113.59,116.37,145.47,158.95,120.22,113.56,113.49,117.98,117.11,142.35,156.99,114.15,111.17,109.0,108.98,113.71,138.1,130.25,106.13,103.21,104.24,111.11,111.25,123.46,121.17,109.52,102.15,98.85,92.94,86.76,86.98,64.33,49.07,40.52,37.03,37.41,36.14,34.41,24.83,27.11,33.29,33.44,33.69,34.36,35.61,32.88,32.93,35.85,38.57,39.62,40.34,38.34,33.05,39.2,44.15,46.62,47.85,48.81,45.09,36.78,35.06,42.33,51.14,53.88,56.02,54.07,45.63,45.82,58.87,59.22,60.21,60.76,57.52,50.31,57.18,60.96,62.63,62.29,64.44,61.2,62.46,66.38,74.19,74.04,78.21,80.89,83.51,71.17,69.52,,,82.07,81.45,82.33,77.45,84.79,91.52,92.97,98.43,94.3,95.35,79.58,86.13,90.85,94.31,97.31,98.09,107.06,95.49,85.66,113.69,111.56,109.53,111.11,114.0,107.45,103.32,108.74,113.08,126.42,125.28,131.9,118.86,114.42,118.3
country/region,Austria,walking,Österreich,,,100.0,101.55,105.59,112.24,123.36,131.05,89.93,100.6,103.3,105.28,110.89,132.87,136.57,92.99,105.8,105.38,107.8,113.19,132.21,148.15,101.66,106.52,106.85,105.75,106.66,126.55,142.55,103.86,110.43,114.55,114.2,123.11,148.29,165.31,113.75,125.35,127.47,125.25,132.26,142.4,166.41,114.7,125.95,125.66,115.47,122.28,129.96,134.42,98.99,111.8,110.27,112.82,120.92,133.87,136.39,97.8,104.56,98.53,93.87,89.3,68.36,55.3,36.38,28.86,25.53,31.77,32.53,32.38,18.54,20.63,23.85,25.22,23.88,25.66,31.85,35.26,27.22,25.06,28.08,31.19,32.78,31.95,31.59,39.51,36.79,39.81,40.71,41.69,40.48,38.8,39.48,33.92,35.47,41.26,45.58,45.03,43.04,32.29,44.2,44.93,47.59,48.07,44.41,43.01,48.66,44.67,47.74,40.06,46.55,46.62,49.18,46.38,54.51,53.07,56.95,61.4,63.62,55.41,45.27,,,56.28,55.44,54.72,59.94,60.89,71.56,71.7,71.21,68.8,76.04,56.69,52.92,62.19,66.45,75.84,67.17,77.68,75.37,51.95,80.63,85.05,83.34,87.02,84.65,92.45,64.72,80.21,84.13,82.75,93.81,112.65,95.66,58.08,85.6
country/region,Belgium,driving,België|Belgique,,,100.0,101.19,107.49,107.67,117.38,119.32,102.68,103.67,107.83,110.0,108.65,116.76,120.76,104.16,105.12,106.85,111.21,112.96,127.96,122.89,104.88,106.02,109.17,111.05,111.1,123.19,129.25,97.76,109.52,111.55,115.6,118.19,131.29,135.91,110.6,115.29,120.26,121.9,123.29,133.24,123.59,105.29,116.44,116.56,118.01,117.4,125.62,119.54,103.95,107.71,108.25,115.66,118.33,127.52,129.93,107.09,108.15,105.81,105.97,87.63,81.16,63.44,56.86,60.42,56.34,44.1,38.45,36.98,32.06,32.36,36.3,38.73,38.62,39.03,40.38,35.25,29.76,37.08,39.0,40.52,39.51,41.05,38.02,38.44,43.29,46.58,48.56,49.18,51.57,47.49,37.88,37.2,46.52,49.42,51.74,50.94,41.76,44.35,50.04,51.51,54.36,54.25,52.29,49.02,49.02,52.77,51.69,54.59,54.06,48.03,50.82,54.76,61.76,64.06,66.62,68.02,70.58,71.02,63.67,,,78.93,80.15,82.62,76.8,75.06,85.65,89.42,90.23,81.12,90.63,84.03,80.06,93.93,95.87,98.57,98.64,103.37,93.69,84.35,98.12,105.19,106.83,104.7,106.04,100.57,97.59,104.7,107.53,111.9,113.06,115.65,114.56,106.48,121.23
country/region,Belgium,transit,België|Belgique,,,100.0,98.67,105.01,105.87,113.55,110.73,100.53,105.62,110.39,114.35,111.03,116.9,116.25,106.64,113.29,115.8,117.19,118.26,126.13,122.24,115.06,119.32,117.23,121.7,121.67,134.02,134.78,119.52,132.55,130.72,130.33,131.96,139.68,142.1,123.14,134.04,139.53,141.82,138.11,137.78,126.99,118.46,136.73,135.58,136.45,137.36,133.34,114.62,108.56,120.18,123.09,127.58,132.54,138.6,134.85,114.29,118.1,112.37,115.74,91.05,71.94,52.67,46.28,44.63,37.76,27.77,23.0,21.03,21.05,21.57,22.47,22.29,21.31,21.7,22.19,21.64,18.76,21.45,21.28,20.24,19.84,21.43,23.19,25.02,23.97,25.85,26.39,26.7,26.55,27.17,26.24,23.95,26.06,27.54,26.97,26.15,22.72,26.48,26.57,26.91,27.99,27.93,26.32,28.81,29.93,28.2,25.95,26.25,28.09,27.73,27.1,33.19,32.5,32.93,35.82,36.1,35.53,35.21,35.31,,,42.2,43.37,40.9,41.03,46.06,52.08,50.94,49.39,47.07,47.46,46.17,47.36,54.74,54.93,55.41,54.72,54.77,52.75,49.48,59.77,62.84,64.59,60.76,57.62,57.63,61.39,65.29,68.22,69.27,72.78,68.38,67.9,64.48,75.84
