pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
62,Nunavut,Nunavut,25-05-2020,0,0,0,0,710,0,N/A,18308,0,0.00,0.00,0.000,0,,3,0,
99,Repatriated travellers,Voyageurs rapatriés,25-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,25-05-2020,85700,11,6545,85711,1482468,44651,52.09,39439,1012,1.19,228.02,17.412,121,7.64,23180,653,40.27
59,British Columbia,Colombie-Britannique,26-05-2020,2541,0,161,2541,115269,2122,83.51,22730,11,0.43,50.11,3.175,0,6.34,464,20,10.15
48,Alberta,Alberta,26-05-2020,6901,0,139,6901,221173,6048,87.64,50596,22,0.32,157.87,3.180,1,2.01,2433,69,10.35
47,Saskatchewan,Saskatchewan,26-05-2020,634,0,8,634,40509,549,86.59,34492,0,0.00,53.98,0.681,1,1.26,205,3,12.15
46,Manitoba,Manitoba,26-05-2020,281,11,7,292,38775,269,92.12,28314,0,0.00,21.32,0.511,0,2.40,703,1,5.48
35,Ontario,Ontario,26-05-2020,26191,0,2123,26191,608832,19958,76.20,41797,287,1.11,179.80,14.574,21,8.11,9552,260,15.69
24,Quebec,Québec,26-05-2020,48598,0,4139,48598,395775,14999,30.86,46644,614,1.28,572.75,48.780,70,8.52,6157,345,60.62
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,26-05-2020,260,0,3,260,11474,255,98.08,22000,0,0.00,49.85,0.575,0,1.15,141,1,0.77
13,New Brunswick,Nouveau-Brunswick,26-05-2020,122,0,0,122,21320,120,98.36,27445,1,0.83,15.70,0.000,0,0.00,288,0,1.64
12,Nova Scotia,Nouvelle-Écosse,26-05-2020,1052,0,59,1052,40334,976,92.78,41522,1,0.10,108.30,6.074,1,5.61,498,2,1.62
11,Prince Edward Island,Île-du-Prince-Édouard,26-05-2020,27,0,0,27,5631,27,100.00,35878,0,0.00,17.20,0.000,0,0.00,78,0,0.00
60,Yukon,Yukon,26-05-2020,11,0,0,11,1154,11,100.00,28247,0,0.00,26.93,0.000,0,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,26-05-2020,5,0,0,5,1955,5,100.00,43613,0,0.00,11.15,0.000,0,0.00,0,0,0.00
62,Nunavut,Nunavut,26-05-2020,0,0,0,0,713,0,N/A,18386,0,0.00,0.00,0.000,0,,3,0,
99,Repatriated travellers,Voyageurs rapatriés,26-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,26-05-2020,86636,11,6639,86647,1502990,45352,52.34,39985,936,1.09,230.51,17.662,94,7.66,20522,701,40.00
59,British Columbia,Colombie-Britannique,27-05-2020,2550,0,162,2550,116762,2144,84.08,23024,9,0.35,50.28,3.194,1,6.35,1493,22,9.57
48,Alberta,Alberta,27-05-2020,6926,0,141,6926,223771,6106,88.16,51191,25,0.36,158.44,3.226,2,2.04,2598,58,9.80
47,Saskatchewan,Saskatchewan,27-05-2020,637,0,10,637,40969,559,87.76,34883,3,0.47,54.24,0.851,2,1.57,460,10,10.68
46,Manitoba,Manitoba,27-05-2020,281,11,7,292,39790,271,92.81,29055,0,0.00,21.32,0.511,0,2.40,1015,2,4.79
35,Ontario,Ontario,27-05-2020,26483,0,2155,26483,623470,20372,76.92,42801,292,1.11,181.81,14.794,32,8.14,14638,414,14.94
24,Quebec,Québec,27-05-2020,49139,0,4228,49139,402059,15319,31.17,47385,541,1.11,579.13,49.829,89,8.60,6284,320,60.22
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,27-05-2020,260,0,3,260,11568,255,98.08,22180,0,0.00,49.85,0.575,0,1.15,94,0,0.77
13,New Brunswick,Nouveau-Brunswick,27-05-2020,123,0,0,123,21644,120,97.56,27862,1,0.82,15.83,0.000,0,0.00,324,0,2.44
12,Nova Scotia,Nouvelle-Écosse,27-05-2020,1053,0,59,1053,41075,975,92.59,42285,1,0.10,108.40,6.074,0,5.60,741,-1,1.80
11,Prince Edward Island,Île-du-Prince-Édouard,27-05-2020,27,0,0,27,5889,27,100.00,37522,0,0.00,17.20,0.000,0,0.00,258,0,0.00
60,Yukon,Yukon,27-05-2020,11,0,0,11,1159,11,100.00,28369,0,0.00,26.93,0.000,0,0.00,5,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,27-05-2020,5,0,0,5,1973,5,100.00,44015,0,0.00,11.15,0.000,0,0.00,18,0,0.00
62,Nunavut,Nunavut,27-05-2020,0,0,0,0,726,0,N/A,18721,0,0.00,0.00,0.000,0,,13,0,
99,Repatriated travellers,Voyageurs rapatriés,27-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,27-05-2020,87508,11,6765,87519,1530931,46177,52.76,40728,872,1.01,232.83,17.997,126,7.73,27941,825,39.51
59,British Columbia,Colombie-Britannique,28-05-2020,2558,0,164,2558,118177,2153,84.17,23303,8,0.31,50.44,3.234,2,6.41,1415,9,9.42
48,Alberta,Alberta,28-05-2020,6955,0,143,6955,249705,6160,88.57,57124,29,0.42,159.11,3.271,2,2.06,25934,54,9.37
47,Saskatchewan,Saskatchewan,28-05-2020,639,0,10,639,41605,568,88.89,35425,2,0.31,54.41,0.851,0,1.56,636,9,9.55
46,Manitoba,Manitoba,28-05-2020,283,11,7,294,40709,273,92.86,29726,2,0.68,21.47,0.511,0,2.38,919,2,4.76
35,Ontario,Ontario,28-05-2020,26866,0,2189,26866,640509,20673,76.95,43971,383,1.45,184.44,15.028,34,8.15,17039,301,14.90
24,Quebec,Québec,28-05-2020,49702,0,4302,49702,409135,15618,31.42,48219,563,1.15,585.77,50.701,74,8.66,7076,299,59.92
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,28-05-2020,261,0,3,261,11769,255,97.70,22566,1,0.38,50.04,0.575,0,1.15,201,0,1.15
13,New Brunswick,Nouveau-Brunswick,28-05-2020,126,0,0,126,21980,120,95.24,28295,3,2.44,16.22,0.000,0,0.00,336,0,4.76
12,Nova Scotia,Nouvelle-Écosse,28-05-2020,1055,0,59,1055,41783,977,92.61,43013,2,0.19,108.61,6.074,0,5.59,708,2,1.80
11,Prince Edward Island,Île-du-Prince-Édouard,28-05-2020,27,0,0,27,5889,27,100.00,37522,0,0.00,17.20,0.000,0,0.00,0,0,0.00
60,Yukon,Yukon,28-05-2020,11,0,0,11,1163,11,100.00,28467,0,0.00,26.93,0.000,0,0.00,4,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,28-05-2020,5,0,0,5,1994,5,100.00,44483,0,0.00,11.15,0.000,0,0.00,21,0,0.00
62,Nunavut,Nunavut,28-05-2020,0,0,0,0,741,0,N/A,19108,0,0.00,0.00,0.000,0,,15,0,
99,Repatriated travellers,Voyageurs rapatriés,28-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,28-05-2020,88501,11,6877,88512,1585235,46853,52.93,42173,993,1.13,235.47,18.295,112,7.77,54304,676,39.30
59,British Columbia,Colombie-Britannique,29-05-2020,2562,0,164,2562,119999,2170,84.70,23662,4,0.16,50.52,3.234,0,6.40,1822,17,8.90
48,Alberta,Alberta,29-05-2020,6979,0,143,6979,229675,6220,89.12,52541,24,0.35,159.65,3.271,0,2.05,-20030,60,8.83
47,Saskatchewan,Saskatchewan,29-05-2020,641,0,10,641,42114,570,88.92,35858,2,0.31,54.58,0.851,0,1.56,509,2,9.52
46,Manitoba,Manitoba,29-05-2020,283,11,7,294,41578,273,92.86,30361,0,0.00,21.47,0.511,0,2.38,869,0,4.76
35,Ontario,Ontario,29-05-2020,27210,0,2230,27210,658429,20983,77.12,45201,344,1.28,186.80,15.309,41,8.20,17920,310,14.69
24,Quebec,Québec,29-05-2020,50232,0,4363,50232,417796,15908,31.67,49240,530,1.07,592.01,51.420,61,8.69,8661,290,59.65
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,29-05-2020,261,0,3,261,11871,255,97.70,22761,0,0.00,50.04,0.575,0,1.15,102,0,1.15
13,New Brunswick,Nouveau-Brunswick,29-05-2020,128,0,0,128,22508,120,93.75,28974,2,1.59,16.48,0.000,0,0.00,528,0,6.25
12,Nova Scotia,Nouvelle-Écosse,29-05-2020,1055,0,59,1055,42309,978,92.70,43555,0,0.00,108.61,6.074,0,5.59,526,1,1.71
11,Prince Edward Island,Île-du-Prince-Édouard,29-05-2020,27,0,0,27,6168,27,100.00,39300,0,0.00,17.20,0.000,0,0.00,279,0,0.00
60,Yukon,Yukon,29-05-2020,11,0,0,11,1176,11,100.00,28785,0,0.00,26.93,0.000,0,0.00,13,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,29-05-2020,5,0,0,5,2001,5,100.00,44639,0,0.00,11.15,0.000,0,0.00,7,0,0.00
62,Nunavut,Nunavut,29-05-2020,0,0,0,0,749,0,N/A,19314,0,0.00,0.00,0.000,0,,8,0,
99,Repatriated travellers,Voyageurs rapatriés,29-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,29-05-2020,89407,11,6979,89418,1596449,47533,53.16,42471,906,1.02,237.88,18.566,102,7.80,11214,680,39.04
59,British Columbia,Colombie-Britannique,30-05-2020,2573,0,164,2573,121573,2181,84.76,23973,11,0.43,50.74,3.234,0,6.37,1574,11,8.86
48,Alberta,Alberta,30-05-2020,6992,0,143,6992,232702,6245,89.32,53234,13,0.19,159.95,3.271,0,2.05,3027,25,8.64
47,Saskatchewan,Saskatchewan,30-05-2020,645,0,10,645,42674,580,89.92,36335,4,0.62,54.92,0.851,0,1.55,560,10,8.53
46,Manitoba,Manitoba,30-05-2020,283,11,7,294,41578,278,94.56,30361,0,0.00,21.47,0.511,0,2.38,0,5,3.06
35,Ontario,Ontario,30-05-2020,27533,0,2247,27533,678394,21353,77.55,46572,323,1.19,189.02,15.426,17,8.16,19965,370,14.28
24,Quebec,Québec,30-05-2020,50651,0,4439,50651,428895,16070,31.73,50548,419,0.83,596.95,52.316,76,8.76,11099,162,59.51
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,30-05-2020,261,0,3,261,12073,255,97.70,23149,0,0.00,50.04,0.575,0,1.15,202,0,1.15
13,New Brunswick,Nouveau-Brunswick,30-05-2020,129,0,0,129,23157,120,93.02,29810,1,0.78,16.61,0.000,0,0.00,649,0,6.98
12,Nova Scotia,Nouvelle-Écosse,30-05-2020,1056,0,60,1056,42904,978,92.61,44167,1,0.09,108.71,6.177,1,5.68,595,0,1.70
11,Prince Edward Island,Île-du-Prince-Édouard,30-05-2020,27,0,0,27,6302,27,100.00,40154,0,0.00,17.20,0.000,0,0.00,134,0,0.00
60,Yukon,Yukon,30-05-2020,11,0,0,11,1176,11,100.00,28785,0,0.00,26.93,0.000,0,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,30-05-2020,5,0,0,5,2001,5,100.00,44639,0,0.00,11.15,0.000,0,0.00,0,0,0.00
62,Nunavut,Nunavut,30-05-2020,0,0,0,0,772,0,N/A,19907,0,0.00,0.00,0.000,0,,23,0,
99,Repatriated travellers,Voyageurs rapatriés,30-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,30-05-2020,90179,11,7073,90190,1634277,48116,53.35,43477,772,0.86,239.94,18.817,94,7.84,37828,583,38.81
59,British Columbia,Colombie-Britannique,31-05-2020,2573,0,164,2573,123293,2181,84.76,24312,0,0.00,50.74,3.234,0,6.37,1720,0,8.86
48,Alberta,Alberta,31-05-2020,7010,0,143,7010,235415,6283,89.63,53854,18,0.26,160.36,3.271,0,2.04,2713,38,8.33
47,Saskatchewan,Saskatchewan,31-05-2020,646,0,11,646,43284,582,90.09,36854,1,0.16,55.00,0.937,1,1.70,610,2,8.20
46,Manitoba,Manitoba,31-05-2020,284,11,7,295,41578,278,94.24,30361,1,0.34,21.54,0.511,0,2.37,0,0,3.39
35,Ontario,Ontario,31-05-2020,27859,0,2266,27859,694851,21810,78.29,47702,326,1.18,191.25,15.556,19,8.13,16457,457,13.58
24,Quebec,Québec,31-05-2020,51059,0,4641,51059,436799,16346,32.01,51479,408,0.81,601.76,54.697,202,9.09,7904,276,58.90
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,31-05-2020,261,0,3,261,12188,255,97.70,23369,0,0.00,50.04,0.575,0,1.15,115,0,1.15
13,New Brunswick,Nouveau-Brunswick,31-05-2020,132,0,0,132,24667,120,90.91,31754,3,2.33,16.99,0.000,0,0.00,1510,0,9.09
12,Nova Scotia,Nouvelle-Écosse,31-05-2020,1056,0,60,1056,43287,981,92.90,44562,0,0.00,108.71,6.177,0,5.68,383,3,1.42
11,Prince Edward Island,Île-du-Prince-Édouard,31-05-2020,27,0,0,27,6438,27,100.00,41020,0,0.00,17.20,0.000,0,0.00,136,0,0.00
60,Yukon,Yukon,31-05-2020,11,0,0,11,1176,11,100.00,28785,0,0.00,26.93,0.000,0,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,31-05-2020,5,0,0,5,2001,5,100.00,44639,0,0.00,11.15,0.000,0,0.00,0,0,0.00
62,Nunavut,Nunavut,31-05-2020,0,0,0,0,778,0,N/A,20062,0,0.00,0.00,0.000,0,,6,0,
99,Repatriated travellers,Voyageurs rapatriés,31-05-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,31-05-2020,90936,11,7295,90947,1665831,48892,53.76,44317,757,0.84,241.95,19.407,222,8.02,31554,776,38.22
59,British Columbia,Colombie-Britannique,01-06-2020,2597,0,165,2597,123788,2207,84.98,24409,24,0.93,51.21,3.254,1,6.35,495,26,8.66
48,Alberta,Alberta,01-06-2020,7044,0,143,7044,237747,6501,92.29,54388,34,0.49,161.14,3.271,0,2.03,2332,218,5.68
47,Saskatchewan,Saskatchewan,01-06-2020,646,0,11,646,43657,588,91.02,37172,0,0.00,55.00,0.937,0,1.70,373,6,7.28
46,Manitoba,Manitoba,01-06-2020,284,11,7,295,43807,278,94.24,31988,0,0.00,21.54,0.511,0,2.37,2229,0,3.39
35,Ontario,Ontario,01-06-2020,28263,0,2276,28263,708760,22153,78.38,48657,404,1.45,194.03,15.625,10,8.05,13909,343,13.57
24,Quebec,Québec,01-06-2020,51354,0,4661,51354,444782,16597,32.32,52420,295,0.58,605.24,54.932,20,9.08,7983,251,58.60
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,01-06-2020,261,0,3,261,12253,255,97.70,23494,0,0.00,50.04,0.575,0,1.15,65,0,1.15
13,New Brunswick,Nouveau-Brunswick,01-06-2020,132,0,0,132,26829,120,90.91,34537,0,0.00,16.99,0.000,0,0.00,2162,0,9.09
12,Nova Scotia,Nouvelle-Écosse,01-06-2020,1057,0,60,1057,43676,984,93.09,44962,1,0.09,108.81,6.177,0,5.68,389,3,1.23
11,Prince Edward Island,Île-du-Prince-Édouard,01-06-2020,27,0,0,27,6531,27,100.00,41613,0,0.00,17.20,0.000,0,0.00,93,0,0.00
60,Yukon,Yukon,01-06-2020,11,0,0,11,1176,11,100.00,28785,0,0.00,26.93,0.000,0,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,01-06-2020,5,0,0,5,2052,5,100.00,45777,0,0.00,11.15,0.000,0,0.00,51,0,0.00
62,Nunavut,Nunavut,01-06-2020,0,0,0,0,784,0,N/A,20217,0,0.00,0.00,0.000,0,,6,0,
99,Repatriated travellers,Voyageurs rapatriés,01-06-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,01-06-2020,91694,11,7326,91705,1695918,49739,54.24,45117,758,0.83,243.97,19.490,31,7.99,30087,847,37.77
59,British Columbia,Colombie-Britannique,02-06-2020,2601,0,165,2601,125418,2229,85.70,24731,4,0.15,51.29,3.254,0,6.34,1630,22,7.96
48,Alberta,Alberta,02-06-2020,7057,0,143,7057,240477,6537,92.63,55012,13,0.18,161.44,3.271,0,2.03,2730,36,5.34
47,Saskatchewan,Saskatchewan,02-06-2020,646,0,11,646,43932,602,93.19,37406,0,0.00,55.00,0.937,0,1.70,275,14,5.11
46,Manitoba,Manitoba,02-06-2020,286,11,7,297,44400,278,93.60,32421,2,0.68,21.69,0.511,0,2.36,593,0,4.04
35,Ontario,Ontario,02-06-2020,28709,0,2293,28709,723506,22484,78.32,49669,446,1.58,197.09,15.742,17,7.99,14746,331,13.70
24,Quebec,Québec,02-06-2020,51593,0,4713,51593,450317,16803,32.57,53072,239,0.47,608.05,55.545,52,9.13,5535,206,58.30
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,02-06-2020,261,0,3,261,12433,256,98.08,23839,0,0.00,50.04,0.575,0,1.15,180,1,0.77
13,New Brunswick,Nouveau-Brunswick,02-06-2020,133,0,0,133,28827,120,90.23,37109,1,0.76,17.12,0.000,0,0.00,1998,0,9.77
12,Nova Scotia,Nouvelle-Écosse,02-06-2020,1057,0,60,1057,44180,992,93.85,45481,0,0.00,108.81,6.177,0,5.68,504,8,0.47
11,Prince Edward Island,Île-du-Prince-Édouard,02-06-2020,27,0,0,27,6645,27,100.00,42339,0,0.00,17.20,0.000,0,0.00,114,0,0.00
60,Yukon,Yukon,02-06-2020,11,0,0,11,1192,11,100.00,29177,0,0.00,26.93,0.000,0,0.00,16,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,02-06-2020,5,0,0,5,2055,5,100.00,45844,0,0.00,11.15,0.000,0,0.00,3,0,0.00
62,Nunavut,Nunavut,02-06-2020,0,0,0,0,792,0,N/A,20423,0,0.00,0.00,0.000,0,,8,0,
99,Repatriated travellers,Voyageurs rapatriés,02-06-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,02-06-2020,92399,11,7395,92410,1724250,50357,54.49,45871,705,0.77,245.84,19.673,69,8.00,28332,618,37.50
59,British Columbia,Colombie-Britannique,03-06-2020,2623,0,166,2623,126694,2243,85.51,24982,22,0.85,51.72,3.273,1.000,6.33,1276,14,8.16
48,Alberta,Alberta,03-06-2020,7076,0,145,7076,244780,6587,93.09,55997,19,0.27,161.87,3.317,2.000,2.05,4303,50,4.86
47,Saskatchewan,Saskatchewan,03-06-2020,647,0,11,647,44372,602,93.04,37781,1,0.15,55.09,0.937,0.000,1.70,440,0,5.26
46,Manitoba,Manitoba,03-06-2020,287,11,7,298,45128,282,94.63,32953,1,0.34,21.76,0.511,0.000,2.35,728,4,3.02
35,Ontario,Ontario,03-06-2020,29047,0,2312,29047,740469,22811,78.53,50834,338,1.18,199.41,15.872,19.000,7.96,16963,327,13.51
24,Quebec,Québec,03-06-2020,51884,0,4794,51884,456561,17098,32.95,53808,291,0.56,611.48,56.500,81.000,9.24,6244,295,57.81
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,03-06-2020,261,0,3,261,12601,256,98.08,24161,0,0.00,50.04,0.575,0.000,1.15,168,0,0.77
13,New Brunswick,Nouveau-Brunswick,03-06-2020,135,0,0,135,29777,120,88.89,38332,2,1.50,17.38,0.000,0.000,0.00,950,0,11.11
12,Nova Scotia,Nouvelle-Écosse,03-06-2020,1058,0,60,1058,44644,993,93.86,45959,1,0.09,108.92,6.177,0.000,5.67,464,1,0.47
11,Prince Edward Island,Île-du-Prince-Édouard,03-06-2020,27,0,0,27,6776,27,100.00,43174,0,0.00,17.20,0.000,0.000,0.00,131,0,0.00
60,Yukon,Yukon,03-06-2020,11,0,0,11,1192,11,100.00,29177,0,0.00,26.93,0.000,0.000,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,03-06-2020,5,0,0,5,2055,5,100.00,45844,0,0.00,11.15,0.000,0.000,0.00,0,0,0.00
62,Nunavut,Nunavut,03-06-2020,0,0,0,0,801,0,N/A,20655,0,0.00,0.00,0.000,0.000,,9,0,
99,Repatriated travellers,Voyageurs rapatriés,03-06-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,03-06-2020,93074,11,7498,93085,1755926,51048,54.84,46714,675,0.73,247.64,19.947,103.000,8.06,31676,691,37.10
59,British Columbia,Colombie-Britannique,04-06-2020,2632,0,166,2632,128341,2265,86.06,25307,9,0.34,51.90,3.273,0,6.31,1647,22,7.64
48,Alberta,Alberta,04-06-2020,7091,0,146,7091,248423,6611,93.23,56830,15,0.21,162.22,3.340,1,2.06,3643,24,4.71
47,Saskatchewan,Saskatchewan,04-06-2020,648,0,11,648,45036,608,93.83,38346,1,0.15,55.17,0.937,0,1.70,664,6,4.48
46,Manitoba,Manitoba,04-06-2020,287,11,7,298,46033,284,95.30,33614,0,0.00,21.76,0.511,0,2.35,905,2,2.35
35,Ontario,Ontario,04-06-2020,29403,0,2357,29403,760610,23208,78.93,52216,356,1.23,201.85,16.181,45,8.02,20141,397,13.05
24,Quebec,Québec,04-06-2020,52143,0,4885,52143,463267,17336,33.25,54599,259,0.50,614.53,57.572,91,9.37,6706,238,57.38
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,04-06-2020,261,0,3,261,12803,256,98.08,24548,0,0.00,50.04,0.575,0,1.15,202,0,0.77
13,New Brunswick,Nouveau-Brunswick,04-06-2020,136,0,1,136,30270,120,88.24,38966,1,0.74,17.51,0.129,1,0.74,493,0,11.03
12,Nova Scotia,Nouvelle-Écosse,04-06-2020,1058,0,61,1058,45224,995,94.05,46556,0,0.00,108.92,6.280,1,5.77,580,2,0.19
11,Prince Edward Island,Île-du-Prince-Édouard,04-06-2020,27,0,0,27,6925,27,100.00,44123,0,0.00,17.20,0.000,0,0.00,149,0,0.00
60,Yukon,Yukon,04-06-2020,11,0,0,11,1201,11,100.00,29397,0,0.00,26.93,0.000,0,0.00,9,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,04-06-2020,5,0,0,5,2083,5,100.00,46469,0,0.00,11.15,0.000,0,0.00,28,0,0.00
62,Nunavut,Nunavut,04-06-2020,0,0,0,0,814,0,N/A,20990,0,0.00,0.00,0.000,0,,13,0,
99,Repatriated travellers,Voyageurs rapatriés,04-06-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,04-06-2020,93715,11,7637,93726,1791106,51739,55.20,47649,641,0.69,249.34,20.317,139,8.15,35180,691,36.65
59,British Columbia,Colombie-Britannique,05-06-2020,2632,0,167,2632,130103,2272,86.32,25655,0,0.00,51.90,3.293,1,6.34,1762,7,7.33
48,Alberta,Alberta,05-06-2020,7098,0,146,7098,254050,6624,93.32,58118,7,0.10,162.38,3.340,0,2.06,5627,13,4.62
47,Saskatchewan,Saskatchewan,05-06-2020,649,0,11,649,45623,611,94.14,38846,1,0.15,55.26,0.937,0,1.69,587,3,4.16
46,Manitoba,Manitoba,05-06-2020,289,11,7,300,46668,284,94.67,34078,2,0.67,21.91,0.511,0,2.33,635,0,3.00
35,Ontario,Ontario,05-06-2020,29747,0,2372,29747,782597,23583,79.28,53726,344,1.17,204.21,16.284,15,7.97,21987,375,12.75
24,Quebec,Québec,05-06-2020,52398,0,4935,52398,470862,17764,33.90,55494,255,0.49,617.54,58.162,50,9.42,7595,428,56.68
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,05-06-2020,261,0,3,261,12935,256,98.08,24801,0,0.00,50.04,0.575,0,1.15,132,0,0.77
13,New Brunswick,Nouveau-Brunswick,05-06-2020,136,0,1,136,30645,121,88.97,39449,0,0.00,17.51,0.129,0,0.74,375,1,10.29
12,Nova Scotia,Nouvelle-Écosse,05-06-2020,1058,0,61,1058,45709,997,94.23,47055,0,0.00,108.92,6.280,0,5.77,485,2,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,05-06-2020,27,0,0,27,7111,27,100.00,45308,0,0.00,17.20,0.000,0,0.00,186,0,0.00
60,Yukon,Yukon,05-06-2020,11,0,0,11,1201,11,100.00,29397,0,0.00,26.93,0.000,0,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,05-06-2020,5,0,0,5,2097,5,100.00,46781,0,0.00,11.15,0.000,0,0.00,14,0,0.00
62,Nunavut,Nunavut,05-06-2020,0,0,0,0,821,0,N/A,21171,0,0.00,0.00,0.000,0,,7,0,
99,Repatriated travellers,Voyageurs rapatriés,05-06-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,05-06-2020,94324,11,7703,94335,1830498,52568,55.72,48697,609,0.65,250.96,20.493,66,8.17,39392,829,36.11
59,British Columbia,Colombie-Britannique,06-06-2020,2632,0,167,2632,131722,2272,86.32,25974,0,0.00,51.90,3.293,0,6.34,1619,0,7.33
48,Alberta,Alberta,06-06-2020,7138,0,146,7138,259031,6656,93.25,59257,40,0.56,163.29,3.340,0,2.05,4981,32,4.71
47,Saskatchewan,Saskatchewan,06-06-2020,650,0,11,650,46118,611,94.00,39267,1,0.15,55.34,0.937,0,1.69,495,0,4.31
46,Manitoba,Manitoba,06-06-2020,289,11,7,300,46668,284,94.67,34078,0,0.00,21.91,0.511,0,2.33,0,0,3.00
35,Ontario,Ontario,06-06-2020,30202,0,2407,30202,804946,23947,79.29,55260,455,1.53,207.34,16.524,35,7.97,22349,364,12.74
24,Quebec,Québec,06-06-2020,52624,0,4970,52624,477737,18412,34.99,56304,226,0.43,620.20,58.574,35,9.44,6875,648,55.57
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,06-06-2020,261,0,3,261,13192,256,98.08,25294,0,0.00,50.04,0.575,0,1.15,257,0,0.77
13,New Brunswick,Nouveau-Brunswick,06-06-2020,136,0,1,136,31083,121,88.97,40013,0,0.00,17.51,0.129,0,0.74,438,0,10.29
12,Nova Scotia,Nouvelle-Écosse,06-06-2020,1058,0,61,1058,46379,999,94.42,47745,0,0.00,108.92,6.280,0,5.77,670,2,-0.19
11,Prince Edward Island,Île-du-Prince-Édouard,06-06-2020,27,0,0,27,7197,27,100.00,45856,0,0.00,17.20,0.000,0,0.00,86,0,0.00
60,Yukon,Yukon,06-06-2020,11,0,0,11,1201,11,100.00,29397,0,0.00,26.93,0.000,0,0.00,0,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,06-06-2020,5,0,0,5,2097,5,100.00,46781,0,0.00,11.15,0.000,0,0.00,0,0,0.00
62,Nunavut,Nunavut,06-06-2020,0,0,0,0,830,0,N/A,21403,0,0.00,0.00,0.000,0,,9,0,
99,Repatriated travellers,Voyageurs rapatriés,06-06-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,
1,Canada,Canada,06-06-2020,95046,11,7773,95057,1868277,53614,56.40,49702,722,0.77,252.88,20.679,70,8.18,37779,1046,35.42
59,British Columbia,Colombie-Britannique,07-06-2020,2632,0,167,2632,132787,2272,86.32,26184,0,0.00,51.90,3.293,0,6.34,1065,0,7.33
48,Alberta,Alberta,07-06-2020,7138,0,146,7138,259031,6656,93.25,59257,0,0.00,163.29,3.340,0,2.05,0,0,4.71
47,Saskatchewan,Saskatchewan,07-06-2020,650,0,11,650,46556,623,95.85,39640,0,0.00,55.34,0.937,0,1.69,438,12,2.46
46,Manitoba,Manitoba,07-06-2020,289,11,7,300,46668,284,94.67,34078,0,0.00,21.91,0.511,0,2.33,0,0,3.00
35,Ontario,Ontario,07-06-2020,30617,0,2426,30617,823687,24252,79.21,56546,415,1.37,210.19,16.655,19,7.92,18741,305,12.87
24,Quebec,Québec,07-06-2020,52849,0,4978,52849,484972,18714,35.41,57157,225,0.43,622.85,58.668,8,9.42,7235,302,55.17
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,07-06-2020,261,0,3,261,13335,256,98.08,25568,0,0.00,50.04,0.575,0,1.15,143,0,0.77
