Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Guadeloupe,Martinique,Guyane,La Réunion,Mayotte,Total
24/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
25/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
26/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
27/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
28/01/2020,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4
29/01/2020,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,5
30/01/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
31/01/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
01/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
02/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
03/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
04/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
05/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
06/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
07/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
08/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
09/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
10/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
11/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
12/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
13/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
14/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
15/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
16/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
17/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
18/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
19/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
20/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
21/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
22/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
23/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
24/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
25/02/2020,7,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,14
26/02/2020,8,0,0,0,0,1,2,6,0,1,0,0,0,0,0,0,0,0,18
27/02/2020,11,4,1,0,0,1,9,9,0,1,1,0,1,0,0,0,0,0,38
28/02/2020,11,5,1,0,0,1,9,9,0,2,2,2,4,0,0,0,0,0,46
29/02/2020,,,2,0,0,2,36,,1,4,,,,0,0,0,0,0,100
01/03/2020,,,9,0,0,7,47,,0,4,,,,3,0,0,0,0,130
02/03/2020,37,8,19,0,0,12,49,37,2,4,6,5,9,3,0,0,0,0,191
03/03/2020,40,13,19,0,0,13,59,37,2,4,7,5,10,3,0,0,0,0,212
04/03/2020,49,16,23,0,0,38,65,55,2,5,9,7,13,3,0,0,0,0,285
05/03/2020,64,39,29,2,3,77,74,76,6,8,11,8,18,3,0,5,0,0,423
06/03/2020,75,78,32,11,3,136,97,89,11,11,18,16,26,3,2,5,0,0,613
07/03/2020,102,129,40,16,5,250,173,104,11,17,36,18,38,3,2,5,0,0,949
08/03/2020,146,129,47,16,33,262,173,243,22,29,36,18,38,3,2,5,0,0,1126
